"JPMorgan Chase,JPMorgan Chse,JPMorgan Chae,JPMorgan Chse"
"Quanta Services,Quant Services,Quanta Srvices,Quant Srvices"
"SM Investments,SM Investmnts,SM Invstments,SM Invstmnts"
"CDW,CW,CD,CW"
"Grupo Bimbo,Grupo Bmbo,Grpo Bimbo,Grpo Bmbo"
"Realty Income,Realty Inome,Ralty Income,Ralty Inome"
"ITC,IC,IT,IC"
"ZTE,ZE,ZT,ZE"
"T&D Holdings,T&D Holdngs,T& Holdings,T& Holdngs"
"Essity,Essity,Essity,Essity"
"Fox,Fox,Fox,Fox"
"Alinma Bank,Alinma Bnk,Alnma Bank,Alnma Bnk"
"Joint Stock Commercial Bank for Foreign Trade of Vietnam,Joint Stock Commercal Bank for Foreign Trade of Vietnam,Jont Stock Commercial Bank for Foreign Trade of Vietnam,Jont Stock Commercal Bank for Foreign Trade of Vietnam"
"Mega Financial Holding,Mega Financal Holding,Mega Financial Hlding,Mega Financal Hlding"
"HF Sinclair,HF Sinclir,HF Sinclai,HF Sinclir"
"American Airlines Group,American Airlines Grup,Amrican Airlines Group,Amrican Airlines Grup"
"Carnival Corporation,Carnival Corporaton,Carnval Corporation,Carnval Corporaton"
"MTR,MTR,MTR,MTR"
"Trip.com Group,Trip.cm Group,Trip.com Grup,Trip.cm Grup"
"Unipol Gruppo,Unipl Gruppo,Unipol Grppo,Unipl Grppo"
"BPER Banca,BPER Bnca,BER Banca,BER Bnca"
"Hilton Worldwide Holdings,Hilton Worldwide Holdngs,Hilton Worldwde Holdings,Hilton Worldwde Holdngs"
"Chipotle Mexican Grill,Chipotle Mexcan Grill,Chipotle Mexican Gril,Chipotle Mexcan Gril"
"Power Grid of India,Pwer Grid of India,Power Grid of Inda,Pwer Grid of Inda"
"Mapfre,Mapre,Mafre,Mafre"
"Fresenius,Fresnius,Fresenius,Fresnius"
"CLP Holdings,CLP Holdngs,CP Holdings,CP Holdngs"
"JBS,JBS,JS,JS"
"Mitsubishi UFJ Lease,Mitsubishi UFJ Lase,Mitsubshi UFJ Lease,Mitsubshi UFJ Lase"
"Geely Automobile Holdings,Geely Automoble Holdings,Geely Autmobile Holdings,Geely Autmobile Holdings"
"Kasikornbank,Kasikornbnk,Kaskornbank,Kaskornbnk"
"Tata Steel,Tta Steel,Tata Stel,Tta Stel"
"Leonardo,Leonrdo,Leonard,Leonrd"
"Ameren,Amren,Amern,Amren"
"CenterPoint Energy,CenterPoint Energey,CnterPoint Energy,CnterPoint Energey"
"Cintas,Cints,Citas,Citas"
"Daiwa Securities,Daiwa Scurities,Dawa Securities,Dawa Scurities"
"Rogers Communications,Rogers Communicatons,Rogers Commnications,Rogers Commnicatons"
"China Taiping Insurance,China Taiping Insurnce,China Taipng Insurance,China Taipng Insurnce"
"Microchip Technology,Microchip Technlogy,Microchp Technology,Microchp Technlogy"
"Motorola Solutions,Motorola Solutons,Motorla Solutions,Motorla Solutons"
"TD SYNNEX,TD SYNEX,TD SYNEX,TD SYNEX"
"Builders FirstSource,Builders FrstSource,Buildrs FirstSource,Buildrs FrstSource"
"Tohoku Electric Power,Tohoku Electric Pwer,Tohku Electric Power,Tohku Electric Pwer"
"Corning,Cornng,Corning,Cornng"
"Credicorp,Credicrp,Credicrp,Credicrp"
"Eletrobras,Eletrobrs,Electrobras,Electrobrs"
"SK,S,S,S"
"Kuaishou Technology,Kuaishou Technlogy,Kuaishou Technolgy,Kuaishou Technolgy"
"Mitsui OSK Lines,Mitsui OSK Lnes,Mitsui SK Lines,Mitsui SK Lnes"
"Mazda Motor,Mazda Mtor,Mada Motor,Mada Mtor"
"Sandvik,Sandvk,Sndvik,Sndvk"
"Super Micro Computer,Super Miro Computer,Supr Micro Computer,Supr Miro Computer"
"Tractor Supply,Trctor Supply,Tractor Suply,Trctor Suply"
"TDK,TDK,TD,TD"
"Flex,Fle,Fle,Fle"
"Woolworths,Woolwoths,Woolworth,Woolwoth"
"Southwest Airlines,Southwest Airlnes,Southwest Airines,Southwest Airlnes"
"Jiangxi Copper,Jiangxi Coper,Jiagxi Copper,Jiagxi Coper"
"HAL Trust,HAL Trst,HL Trust,HL Trst"
"Philips,Philips,Phlips,Phlips"
"PPL,PL,PPL,PL"
"Workday,Workay,Worday,Worday"
"Tenaga Nasional,Tenaga Nasionl,Tenga Nasional,Tenga Nasionl"
"Public Storage,Public Storag,Pblic Storage,Pblic Storag"
"Mitsubishi Chemical,Mitsubishi Chemcal,Mitsubshi Chemical,Mitsubshi Chemcal"
"Mediobanca,Mediobnca,Mediobanca,Mediobnca"
"Lululemon Athletica,Lululemon Athetica,Lulemon Athletica,Lulemon Athetica"
"Interactive Brokers Group,Interctive Brokers Group,Interactive Brokrs Group,Interctive Brokrs Group"
"Longi Green Energy Technology,Longi Green Energy Technlogy,Long Green Energy Technology,Long Green Energy Technlogy"
"Kyocera,Kyocra,Kycera,Kycra"
"CP All,C All,CP Al,C Al"
"Absa Group,Absa Grup,Absa Grp,Absa Grup"
"Jackson Financial,Jackson Financal,Jckson Financial,Jckson Financal"
"Sabanci Holding,Sabanci Holdng,Sabnci Holding,Sabnci Holdng"
"Henderson Land,Henderson Lnd,Hnderson Land,Hnderson Lnd"
"BDO Unibank,BDO Unibnk,BD Unibank,BD Unibnk"
"Chongqing Rural Bank,Chongqing Rurl Bank,Chongqng Rural Bank,Chongqng Rurl Bank"
"TCL,TL,TC,TL"
"NASDAQ,NASDAQ,NASDQ,NASDQ"
"Isuzu Motors,Isuzu Mtors,Iszu Motors,Iszu Mtors"
"Phoenix Group Holdings,Phoenix Grup Holdings,Phoenx Group Holdings,Phoenx Grup Holdings"
"SDIC Power Holdings,SDIC Power Holdngs,SDC Power Holdings,SDC Power Holdngs"
"Sumitomo Realty,Sumitomo Ralty,Smitomo Realty,Smitomo Ralty"
"Quinenco,Quinco,Quienco,Quienco"
"Mizrahi Tefahot Bank,Mizrahi Tefhot Bank,Mizahi Tefahot Bank,Mizahi Tefhot Bank"
"Evergreen Marine Corp.,Evergren Marine Corp.,Evergreen Mrine Corp.,Evergren Mrine Corp."
"Greenland Holdings Group,Greenland Holdings Grup,Greenlad Holdings Group,Greenlad Holdings Grup"
"Adidas,Adias,Adids,Adids"
"Banca MPS,Banca MS,Bnca MPS,Bnca MS"
"Ford Otosan,Ford Otoan,Fod Otosan,Fod Otoan"
"Sichuan Road & Bridge,Sichan Road & Bridge,Sichuan Rod & Bridge,Sichan Rod & Bridge"
"East Money Information,East Money Informtion,East Mney Information,East Mney Informtion"
"Aisin Seiki,Aisin Seki,Aisn Seiki,Aisn Seki"
"Guotai Junan Securities,Guotai Junan Scurities,Guotai Junan Seurities,Guotai Junan Seurites"
"Commercial Bank For Investment & Development Of Vietnam,Commercial Bank For Investmnt & Development Of Vietnam,Commercal Bank For Investment & Development Of Vietnam,Commercal Bank For Investmnt & Development Of Vietnam"
"Dubai Islamic Bank,Dubai Islamic Bnk,Dubi Islamic Bank,Dubi Islamic Bnk"
"Arista Networks,Arista Netwoks,Arista Netwrks,Arista Netwoks"
"IndusInd Bank,IndusInd Bnk,IndsInd Bank,IndsInd Bnk"
"Westinghouse Air Brake Technologies,Westinghouse Air Brke Technologies,Westinghouse Air Brke Technolgies,Westinghouse Air Brke Technolgies"
"Monster Beverage,Monstr Beverage,Monster Beverge,Monstr Beverge"
"Jeronimo Martins,Jeronimo Mrtins,Jeronmo Martins,Jeronmo Mrtins"
"Dollar Tree,Dollar Tre,Dolar Tree,Dolar Tre"
"ON Semiconductor Corp.,ON Semiconducr Corp.,ON Semicondctor Corp.,ON Semicondctor Corp."
"Ovintiv,Ointiv,Oviniv,Oviniv"
"Hanwha,Hanha,Hawha,Hanha"
"Naver,Nver,Navr,Navr"
"Suzano,Suzno,Szano,Szano"
"Expedia Group,Expedia Grup,Expeda Group,Expeda Grup"
"Telkom Indonesia,Telkom Indonesa,Telkm Indonesia,Telkm Indonesa"
"Tokyo Gas,Toky Gas,Toio Gas,Toio Gas"
"China National Building,China National Bilding,Chna National Building,Chna National Bilding"
"Fidelity National Information,Fidelity National Informtion,Fidlity National Information,Fidlity National Informtion"
"Saudi Arabian Mining,Saudi Arabian Minng,Saudi Arabian Ming,Saudi Arabian Minng"
"CMS Energy,CMS Enrgy,CSM Energy,CSM Enrgy"
"Martin Marietta Materials,Martin Marieta Materials,Martin Mariet Materials,Martin Mariet Materials"
"AES,AES,AE,A"
"Bank Of Chengdu,Bank Of Chengu,Bnk Of Chengdu,Bnk Of Chengu"
"Indian Railway Finance,Indian Railay Finance,Indan Railway Finance,Indan Railay Finance"
"Legend Holding,Legend Hlding,Legnd Holding,Legnd Hlding"
"Muyuan Foodstuff,Muyan Foodstuff,Muyan Foodstuf,Muyan Foodstuf"
"DuPont De Nemours,DuPont De Nemors,DuPont De Nmours,DuPont De Nmors"
"Wipro,Wi,Wi,Wip"
"Delta Electronics,Dlta Electronics,Delta Elecronics,Dlta Elecronics"
"Mashreq Bank,Mashrq Bank,Mashre Bank,Mashre Bnk"
"Molson Coors Brewing,Molson Coors Brewng,Molson Cors Brewing,Molson Cors Brewng"
"GAIL India,GAIL Inda,GIL India,GIL Inda"
"Moody's,Moody's,Moody,Moody"
"Restaurant Brands International,Restaurant Brands Internationl,Restarant Brands International,Restarant Brands Internationl"
"Eversource Energy,Eversource Enrgy,Eversorce Energy,Eversorce Enrgy"
"Bank Pekao,Bnk Pekao,Bank Pkao,Bnk Pkao"
"Teva Pharmaceutical,Teva Pharmaceutcal,Teva Pharmaceical,Teva Pharmaceial"
"Db Insurance,Db Insurane,Db Insurnce,Db Insurnce"
"Legrand,Lgrand,Legrnd,Lgrnd"
"Rakuten,Rakutn,Rakuen,Rakutn"
"Conagra Brands,Conagra Brnds,Conag Brands,Conag Brnds"
"Kellanova,Kellnova,Kellanov,Kellnov"
"Schindler Holding,Schindler Holdng,Schindlr Holding,Schindlr Holdng"
"Air France-KLM,Air Frnce-KLM,Ar France-KLM,Ar Frnce-KLM"
"TBEA,TEA,TBA,TEA"
"Bank Negara Indonesia,Bnk Negara Indonesia,Bank Negar Indonesia,Bnk Negar Indonesia"
"Welltower,Weltoer,Welower,Weltoer"
"Ericsson,Ercsson,Ericsso,Ercsson"
"Indian Bank,Indan Bank,Indin Bank,Indin Bank"
"DSM-Firmenich,DSM-Firmench,DSM-Firmench,DSM-Firmench"
"Waste Connections,Wste Connections,Wste Connetions,Wste Connetions"
"Techtronic Industries,Techtronic Indstries,Techtronic Industres,Techtronic Industres"
"Raizen,Razen,Raien,Raien"
"Anta Sports Products,Anta Sports Prodcts,Anta Sprts Products,Anta Sprts Prodcts"
"Kyushu Electric Power,Kyushu Electric Pwer,Kyushu Elecric Power,Kyushu Elecric Pwer"
"Kone,Kon,Kone,Kon"
"Semiconductor Manufacturing International,Semicondctor Manufacturing International,Semiconductor Manufactring International,Semicondctor Manufactring International"
"Ita¨²sa,Ita¨²sa,Ita¨²sa,Ita¨²sa"
"Halkbank,Hlkbank,Halkbnk,Hlkbnk"
"MOL Hungarian Oil,MOL Hungrian Oil,MOL Hngarian Oil,MOL Hngrian Oil"
"China Reinsurance Group,China Reinsurace Group,China Reinsurance Grup,China Reinsurace Grup"
"Formosa Petrochemical,Formosa Petochemical,Formsa Petrochemical,Formsa Petochemical"
"Vedanta Limited,Vednta Limited,Vedana Limited,Vedana Limited"
"Ferrari,Ferari,Ferrari,Ferari"
"Shanghai International Port,Shanghai Interational Port,Shanghai Internationl Port,Shanghai Internationl Port"
"Reliance Steel,Relance Steel,Reliace Steel,Reliace Steel"
"Yuanta Financial Holding,Yuanta Financal Holding,Yuanta Financial Hlding,Yuanta Financal Hlding"
"NVR,NR,NVR,NR"
"Penske Automotive,Penske Automotve,Penske Autmotive,Penske Autmotive"
"St. James's Place,St. James's Plc,St. James Place,St. James Plc"
"China Bohai Bank,China Bohi Bank,Chna Bohai Bank,Chna Bohi Bank"
"China Three Gorges Renewables,China Three Gorges Renwables,Chna Three Gorges Renewables,Chna Three Gorges Renwables"
"Tongwei,Tongwei,Tongwei,Tongwei"
"SCB X Public Company,SCB X Public Compny,SC X Public Company,SC X Public Compny"
"Vestas Wind Systems,Vestas Wind Systms,Vstas Wind Systems,Vstas Wind Systms"
"KE Holdings,KE Holdngs,K Holdings,K Holdngs"
"Dassault Systemes,Dassault Systmes,Dassalt Systemes,Dassalt Systmes"
"DiDi Global,DiDi Gobal,DiDi Glbal,DiDi Glbal"
"SK Innovation,S Innovation,SK Innovtion,S Innovtion"
"CGI,CG,CG,CG"
"American Water Works,American Watr Works,Amercan Water Works,Amercan Watr Works"
"Textron,Texron,Txtron,Txron"
"Pembina Pipeline,Pembina Pipline,Pembna Pipeline,Pembna Pipline"
"Banque Saudi Fransi,Banque Sudi Fransi,Bnque Saudi Fransi,Bnque Sudi Fransi"
"Fosun International,Fosun Internationl,Fosn International,Fosn Internationl"
"Zimmer Biomet,Zimer Biomet,Zimmer Biomt,Zimer Biomt"
"Bangkok Bank,Bangkok Bnk,Bngkok Bank,Bngkok Bnk"
"China National Chemical,China National Chemcal,Chna National Chemical,Chna National Chemcal"
"Yum! Brands,Yum Brands,Ym! Brands,Ym Brands"
"Lithia Motors,Lithia Motos,Litha Motors,Litha Motos"
"Aena,Ana,Aen,Ana"
"Lonza Group,Lonza Grup,Lonza Grop,Lonza Grop"
"Synopsys,Synopsis,Synpsy,Synpsy"
"United Microelectronics,United Microelectonics,United Micorelectronics,United Micorelectonics"
"Uni-President,Uni-Presdent,Uni-Presidet,Uni-Presdet"
"China Cinda Asset Management,China Cinda Aset Management,China Cinda Asset Managemnt,China Cinda Aset Managemnt"
"Nongfu Spring,Nongfu Sring,Nongfu Sprng,Nongfu Sring"
"Scor,Sor,Scr,Sor"
"E.Sun Financial,E.Sun Financal,E. Sun Financial,E. Sun Financal"
"Rockwell Automation,Rockwell Automtion,Rockwel Automation,Rockwel Automtion"
"Santos,Sntos,Sanos,Sanos"
"Kirin Holdings,Kirin Holdngs,Krnin Holdings,Krnin Holdngs"
"Snam,Snm,Sanm,Sanm"
"Abu Dhabi Islamic Bank,Abu Dhabi Islamc Bank,Ab Dhabi Islamic Bank,Ab Dhabi Islamc Bank"
"KT,KT,K,KT"
"Sungrow Power Supply,Sungrow Power Suply,Sungow Power Supply,Sungow Power Suply"
"Air Canada,Air Canda,Ar Canada,Ar Canda"
"CarMax,CarMax,CaMax,CaMax"
"Dover,Dver,Dovr,Dovr"
"Zhejiang Zheneng Electric Power,Zhejiang Zheneng Electric Pwer,Zhejiang Zheneng Elecric Power,Zhejiang Zheneng Elecric Pwer"
"Sunac China Holdings,Sunac China Holdngs,Snac China Holdings,Snac China Holdngs"
"Ferrovial,Ferrovil,Ferrovil,Ferrovil"
"PBF Energy,PBF Enrgy,PF Energy,PF Enrgy"
